sale_day,customer_score,losses_day,Organization,Responsibility,Conduct,Resource_management,Conflict_management,Contribution
206,1,-10,0,1,0,1,0,0
445,2,-10,1,0,1,1,1,1
413,0,-6,1,1,0,1,0,0
344,4,-6,1,0,0,0,1,1
179,2,-10,0,1,0,0,1,0
249,3,-10,1,0,0,0,1,0
126,5,-5,1,1,0,1,0,0
45,1,-5,1,0,0,1,1,1
324,5,-7,1,0,0,0,1,0
294,1,-4,0,0,0,1,1,1
269,2,-2,0,0,1,1,0,0
91,5,-7,1,1,0,0,0,1
171,3,-4,0,0,0,0,1,1
376,2,0,1,0,0,0,0,0
464,0,-3,1,0,1,1,1,1
161,1,-3,1,0,0,0,0,0
312,0,-6,0,1,1,1,1,0
212,2,0,1,1,0,1,1,0
486,0,-7,0,1,1,1,1,0
399,0,-3,1,0,0,1,0,1
155,3,-7,0,1,1,0,0,1
110,4,-5,1,0,1,1,0,1
269,4,0,1,1,0,0,0,1
156,3,-8,0,0,1,1,1,1
493,2,-5,1,1,0,1,1,0
233,0,-5,1,0,1,1,1,0
241,2,-4,0,0,0,1,1,0
78,1,-7,1,1,0,0,0,1
148,3,-5,1,1,1,1,0,1
135,4,-6,1,1,1,1,1,0
145,0,-6,1,0,0,0,1,1
67,5,0,0,1,1,1,0,0
253,4,-2,1,0,1,0,1,0
453,4,-10,0,0,0,1,1,1
62,3,0,0,0,0,0,0,0
439,4,-1,1,0,1,1,1,0
27,4,-7,1,1,1,1,1,0
25,1,-6,0,1,1,0,0,0
24,0,-5,0,0,0,1,1,0
48,1,-10,0,0,0,1,1,1
374,0,-2,1,0,1,1,1,1
46,1,-7,0,1,1,0,1,1
20,1,-10,0,0,0,0,1,1
436,0,-2,1,0,0,0,0,1
438,1,-5,0,1,0,0,0,1
66,1,0,0,0,1,0,1,0
93,2,-9,0,0,1,0,1,1
478,4,-2,0,1,1,1,1,1
94,4,-6,0,0,0,0,0,1
216,2,0,0,1,0,0,0,1
484,1,-7,0,0,0,1,0,1
472,1,0,1,1,1,0,1,0
71,2,-10,0,0,0,0,0,0
117,2,-4,1,0,0,1,0,1
251,1,-2,1,0,1,0,1,1
