sale_day,customer_score,losses_day,Organization,Responsibility,Conduct,Resource_management,Conflict_management,Contribution
6721,1,-4,1,1,0,0,1,0
1583,5,-4,0,0,1,1,1,1
2068,5,-9,1,1,0,1,1,0
4818,2,-5,0,0,0,1,0,0
3228,2,-7,0,0,1,1,1,0
5381,3,0,1,1,0,1,0,0
9237,3,-10,1,1,1,1,1,0
7814,1,0,0,1,0,0,1,1
8978,4,-2,0,1,0,0,0,1
1709,2,-4,0,0,1,1,0,0
13386,0,-4,0,0,1,1,1,0
5170,5,-7,1,1,1,1,1,1
654,5,-1,0,1,1,0,0,0
9519,4,-2,0,0,1,1,1,1
5730,2,-9,0,1,0,1,1,0
5729,5,-2,0,0,1,0,1,0
4281,3,0,0,1,0,0,0,0
2841,2,0,1,1,0,0,0,1
6894,4,-1,1,0,1,0,0,1
13964,5,-10,1,0,0,0,0,0
11853,2,-10,1,1,1,0,1,0
8565,4,-2,1,0,0,0,1,1
3753,5,-7,0,0,1,0,1,1
12530,3,-9,0,1,1,1,0,0
9315,1,-1,1,0,0,1,0,1
6478,4,-7,1,1,0,1,0,1
4776,3,-1,1,1,0,1,0,0
11150,0,-10,0,1,1,0,1,0
10151,2,-1,0,1,1,0,0,0
1266,3,-5,1,0,1,1,0,1
11750,5,0,1,1,0,0,1,0
12310,4,-2,1,0,0,1,0,0
4275,0,-8,1,1,1,1,0,0
2408,1,-2,0,1,0,0,1,1
14385,4,-7,0,1,0,0,1,1
13509,1,-2,1,0,0,1,0,0
5613,3,-10,1,0,1,1,0,1
1232,4,-9,1,1,0,1,1,1
1238,2,-1,0,1,1,0,1,0
4807,1,-2,0,0,1,1,1,1
1437,4,-10,1,1,1,1,0,1
11893,4,-8,0,1,0,1,1,0
1924,2,-9,0,0,0,1,0,1
5985,1,-8,1,1,0,1,1,1
5779,5,-3,1,1,0,0,0,0
9389,5,-2,0,0,1,0,0,0
7109,0,-6,0,0,1,1,1,0
13676,0,-2,1,1,1,1,0,0
5359,0,-5,0,0,0,1,1,0
7939,5,-9,0,1,1,0,1,1
4541,4,-8,0,0,1,0,1,1
7761,5,-5,0,1,0,0,1,0
8848,0,-1,1,1,0,1,0,1
3376,2,-3,1,0,1,1,0,0
5381,4,-4,1,0,1,1,0,0
8697,0,-8,0,0,1,0,1,1
6551,1,-6,1,1,1,1,0,0
783,0,0,0,0,0,0,1,0
8139,2,-9,0,0,0,1,1,0
4188,1,-7,1,0,0,1,1,0
10943,1,-3,1,1,1,1,1,1
7883,2,-1,1,1,0,1,0,1
4457,3,-9,1,1,0,0,0,0
2924,2,-2,0,1,1,1,1,0
4740,4,-10,0,1,1,0,1,0
11263,1,-6,1,0,0,1,1,0
452,2,-8,0,1,0,1,1,1
379,2,-8,1,1,1,1,0,0
4972,0,-10,1,0,1,0,1,0
2355,4,-7,0,0,0,1,0,1
2335,1,-10,1,0,0,1,1,0
5200,4,-3,1,0,1,1,0,0
10646,4,-9,0,1,0,1,1,0
595,2,-3,1,1,0,1,1,1
3789,1,-1,0,1,1,0,1,1
12904,0,-5,0,1,0,1,1,0
2426,1,-3,1,0,1,1,1,1
14492,5,-1,0,0,1,1,0,0
14113,4,-9,1,0,0,1,1,0
5276,3,0,1,1,0,0,0,0
5431,0,-10,1,1,1,0,0,1
688,5,-5,0,0,0,1,1,1
11162,0,-3,0,1,1,1,1,0
8377,4,-2,1,0,1,0,0,1
14982,4,-5,0,1,0,0,0,0
12392,2,-2,0,0,1,1,1,0
10700,2,-5,0,0,1,1,0,0
9904,3,-4,1,1,0,1,0,1
8001,5,-8,0,0,0,1,0,1
9316,0,-4,0,1,1,1,1,1
9413,3,-9,0,1,1,1,1,0
9988,3,-10,0,1,0,1,0,1
10933,4,-1,1,0,0,1,1,1
8594,1,-2,0,0,0,1,1,0
13779,3,-7,1,0,0,0,1,0
4280,4,-4,0,1,1,0,1,1
7980,1,-1,0,1,0,0,0,1
7830,3,-3,0,1,0,1,1,0
4305,5,-9,1,0,0,0,1,0
10853,3,-3,0,1,0,1,1,0
2615,5,-9,1,0,0,0,0,1
1707,2,-10,0,0,0,0,0,1
14837,3,0,1,1,1,1,0,1
2119,0,0,0,0,0,1,1,1
10284,3,-6,0,0,0,0,0,1
14271,4,-6,0,0,0,0,1,1
11905,5,-8,1,1,1,1,1,0
10269,5,-7,0,0,0,1,0,0
7086,0,-8,0,0,1,1,1,1
8918,1,-5,1,0,0,0,0,0
12416,0,0,1,0,0,1,1,0
14691,4,-5,0,0,1,0,1,0
14795,5,-5,0,1,1,0,0,0
3816,1,-4,0,0,1,0,0,0
12989,5,-3,0,1,1,1,1,1
5830,3,-1,1,0,1,1,0,0
12966,3,-8,0,0,0,1,0,1
13335,2,-1,0,1,0,0,1,0
2659,4,-2,1,0,0,1,0,0
3739,3,-3,0,0,0,1,1,0
10245,1,-2,1,1,0,0,0,1
7542,1,-2,1,0,1,1,1,0
3783,1,-6,0,1,1,0,0,0
762,2,-1,1,0,0,0,1,1
4003,5,-5,1,1,1,0,1,1
10086,4,-5,0,0,0,1,0,1
1571,3,-5,0,0,0,0,0,1
13078,3,-5,1,1,1,0,0,1
14543,4,-6,0,1,0,1,0,0
6219,2,-3,1,0,0,0,0,0
2585,1,-10,0,0,1,1,0,1
14518,5,-8,0,0,0,1,0,0
12202,2,-7,0,1,0,1,1,1
9397,1,-2,1,1,1,0,0,0
14554,3,-1,0,0,0,0,0,1
11893,0,-5,0,1,0,0,0,1
13207,3,-7,0,0,0,1,0,0
14665,5,-9,1,0,0,0,0,1
6658,0,-5,1,0,0,0,0,0
1830,0,-9,1,1,0,1,0,1
12223,3,-2,0,1,1,0,1,0
10996,1,-5,0,0,1,0,0,1
597,0,-1,0,0,0,0,0,1
7646,4,0,1,1,1,0,0,0
1351,1,-1,1,1,0,1,1,0
1073,0,-8,0,0,1,0,1,1
1794,0,-1,0,0,0,1,1,1
3995,4,0,0,1,1,0,1,0
6249,4,0,0,0,0,1,1,0
11052,2,-6,1,1,1,1,1,1
7439,1,-9,0,0,0,1,1,0
6918,0,-2,0,0,0,0,1,0
872,5,-4,0,1,1,0,1,1
11528,4,-3,1,0,1,0,1,1
10274,5,-10,0,0,0,1,0,1
10996,0,-1,0,0,0,0,1,1
2910,4,-4,0,0,1,1,0,0
9436,3,-7,0,1,0,0,0,0
7166,3,-9,0,1,0,1,1,0
1135,0,-4,1,0,1,1,0,0
655,3,-4,1,1,1,1,1,1
