sale_day,customer_score,losses_day,Organization,Responsibility,Conduct,Resource_management,Conflict_management,Contribution
152,3,-7,1,1,0,1,1,1
3765,5,-2,1,1,0,1,1,1
3137,4,-3,1,1,1,1,1,1
731,5,-8,1,1,0,1,1,1
2142,5,-7,1,1,0,1,1,1
3143,3,-5,1,1,0,1,1,1
3508,3,-1,1,1,0,1,1,0
2064,4,-3,1,1,1,1,1,1
851,4,-13,1,1,0,1,1,0
4548,5,-5,1,1,1,1,1,1
2733,4,-9,1,1,1,1,1,1
769,4,-7,1,1,1,1,1,1
3025,5,-10,1,1,0,1,1,1
3523,4,-3,1,1,1,1,1,1
3779,5,-14,1,1,1,1,1,1
1347,4,-2,1,1,1,1,1,1
775,5,-4,1,1,1,1,1,1
2774,5,-8,1,1,0,1,1,1
1612,5,-9,1,1,0,1,1,1
3016,3,-15,1,1,1,1,1,0
4523,5,-9,1,1,1,1,1,1
481,3,-4,1,1,1,1,1,0
3068,4,-2,1,1,1,1,1,0
4748,5,-1,1,1,0,1,1,0
4898,4,-6,1,1,1,1,1,1
2274,4,-6,1,1,0,1,1,1
757,4,-13,1,1,0,1,1,0
1469,3,-12,1,1,1,1,1,1
4456,4,0,1,1,0,1,1,1
2201,5,-14,1,1,1,1,1,0
555,5,-14,1,1,0,1,1,1
4286,3,-13,1,1,1,1,1,0
4459,3,-3,1,1,1,1,1,0
4186,4,-14,1,1,1,1,1,0
3195,4,-11,1,1,1,1,1,1
1347,5,-6,1,1,1,1,1,1
2855,4,-12,1,1,1,1,1,0
4568,3,-9,1,1,0,1,1,1
3756,3,-12,1,1,0,1,1,0
1481,4,-14,1,1,0,1,1,1
3928,4,-1,1,1,0,1,1,0
3348,4,-1,1,1,1,1,1,1
2006,5,-1,1,1,0,1,1,0
1090,4,-15,1,1,1,1,1,0
2476,3,-4,1,1,1,1,1,1
2979,5,0,1,1,1,1,1,0
2535,4,-5,1,1,1,1,1,0
3100,4,-6,1,1,1,1,1,0
1995,3,-9,1,1,0,1,1,0
3634,4,-8,1,1,0,1,1,1
4353,4,-10,1,1,0,1,1,0
1642,5,-7,1,1,1,1,1,0
4938,3,-9,1,1,0,1,1,1
4703,4,-8,1,1,1,1,1,1
1705,5,-1,1,1,0,1,1,0
937,5,-12,1,1,0,1,1,1
4857,4,-5,1,1,1,1,1,0
1305,5,-5,1,1,1,1,1,1
1080,3,-15,1,1,1,1,1,0
3314,5,-14,1,1,0,1,1,1
4622,4,-12,1,1,0,1,1,1
429,5,-10,1,1,1,1,1,1
2693,3,-14,1,1,1,1,1,0
1720,4,-5,1,1,1,1,1,1
4084,3,-5,1,1,0,1,1,1
823,3,-9,1,1,1,1,1,1
1367,5,-8,1,1,0,1,1,1
4879,3,-10,1,1,1,1,1,0
4945,5,-3,1,1,0,1,1,1
4598,5,-2,1,1,0,1,1,1
2630,5,-15,1,1,0,1,1,1
1907,5,-5,1,1,0,1,1,1
3146,3,-3,1,1,0,1,1,0
1218,3,-5,1,1,0,1,1,0
1823,5,-9,1,1,1,1,1,1
973,4,-7,1,1,0,1,1,1
3859,5,-10,1,1,0,1,1,1
2419,5,-1,1,1,0,1,1,1
3383,5,0,1,1,1,1,1,0
4290,4,-7,1,1,0,1,1,0
2297,5,-12,1,1,1,1,1,0
4941,4,-10,1,1,1,1,1,0
4692,4,-15,1,1,0,1,1,1
2656,4,-15,1,1,1,1,1,0
1087,5,-11,1,1,1,1,1,0
3755,5,-9,1,1,1,1,1,0
2493,5,-8,1,1,0,1,1,1
2729,4,-4,1,1,1,1,1,0
4841,5,-8,1,1,0,1,1,1
2322,5,-11,1,1,1,1,1,0
2560,5,-9,1,1,1,1,1,0
288,3,-14,1,1,0,1,1,1
23,3,-3,1,1,1,1,1,0
893,5,-8,1,1,0,1,1,0
4660,5,-2,1,1,1,1,1,0
414,3,-10,1,1,0,1,1,1
3786,5,0,1,1,1,1,1,1
1388,3,-14,1,1,0,1,1,1
571,4,0,1,1,1,1,1,0
4408,5,-15,1,1,1,1,1,0
3145,5,-2,1,1,1,1,1,0
3478,4,-1,1,1,1,1,1,0
389,3,-2,1,1,1,1,1,1
2674,3,-7,1,1,1,1,1,0
1568,4,-3,1,1,1,1,1,0
1051,3,-10,1,1,0,1,1,1
4833,3,-11,1,1,1,1,1,1
3658,4,-10,1,1,1,1,1,1
2006,3,-1,1,1,0,1,1,1
2042,4,0,1,1,0,1,1,0
602,3,-9,1,1,1,1,1,1
850,5,-8,1,1,0,1,1,0
2493,5,-13,1,1,0,1,1,0
1656,5,-4,1,1,0,1,1,0
4074,5,-6,1,1,0,1,1,0
337,5,-4,1,1,0,1,1,1
660,3,-2,1,1,1,1,1,1
4544,4,-1,1,1,0,1,1,0
3555,5,-6,1,1,0,1,1,0
297,5,-8,1,1,1,1,1,1
3554,4,-11,1,1,0,1,1,0
1485,4,-8,1,1,1,1,1,1
3762,4,-7,1,1,1,1,1,1
2043,3,-12,1,1,1,1,1,1
2450,4,-4,1,1,0,1,1,0
662,5,-13,1,1,0,1,1,0
1654,3,0,1,1,1,1,1,1
1456,4,-10,1,1,1,1,1,1
414,3,-8,1,1,1,1,1,0
919,5,-10,1,1,0,1,1,1
1062,5,-5,1,1,1,1,1,1
691,3,-8,1,1,1,1,1,1
2193,3,-13,1,1,0,1,1,0
4927,5,-3,1,1,1,1,1,1
646,5,-8,1,1,1,1,1,1
3501,4,-12,1,1,1,1,1,1
772,3,-2,1,1,0,1,1,1
3390,5,-3,1,1,1,1,1,1
4948,5,-6,1,1,1,1,1,1
2385,3,-4,1,1,0,1,1,1
4063,3,-10,1,1,0,1,1,0
4263,5,-1,1,1,0,1,1,0
1127,4,-3,1,1,0,1,1,0
2008,5,-13,1,1,0,1,1,1
524,5,-12,1,1,0,1,1,0
3467,5,-12,1,1,1,1,1,1
867,3,-13,1,1,0,1,1,0
833,4,0,1,1,0,1,1,0
2300,4,-7,1,1,1,1,1,1
2265,3,-8,1,1,0,1,1,0
3994,4,-11,1,1,0,1,1,1
459,5,-6,1,1,0,1,1,1
4542,5,-4,1,1,0,1,1,1
2897,4,-12,1,1,1,1,1,1
4014,4,-8,1,1,0,1,1,1
4396,3,0,1,1,1,1,1,1
373,3,-15,1,1,1,1,1,1
1251,5,-5,1,1,1,1,1,1
1318,5,-12,1,1,0,1,1,0
62,3,-11,1,1,0,1,1,1
1065,5,-1,1,1,1,1,1,1
411,5,-3,1,1,0,1,1,1
1989,4,-13,1,1,1,1,1,1
3691,4,-10,1,1,0,1,1,0
916,4,-1,1,1,1,1,1,0
1290,3,-10,1,1,0,1,1,1
2786,3,-14,1,1,0,1,1,1
3685,5,-9,1,1,0,1,1,0
2020,4,-6,1,1,0,1,1,0
162,5,-4,1,1,1,1,1,0
3839,5,-2,1,1,1,1,1,1
1718,3,-7,1,1,0,1,1,1
1479,3,-3,1,1,1,1,1,1
2242,5,0,1,1,1,1,1,1
2952,5,-13,1,1,1,1,1,1
4359,5,-12,1,1,1,1,1,1
920,3,-14,1,1,1,1,1,1
4809,3,-2,1,1,0,1,1,1
10,5,-3,1,1,1,1,1,0
2500,5,-2,1,1,0,1,1,0
3988,3,-4,1,1,1,1,1,0
1961,3,0,1,1,1,1,1,1
422,3,-6,1,1,1,1,1,0
305,3,-9,1,1,0,1,1,1
202,3,-6,1,1,0,1,1,0
3924,4,0,1,1,1,1,1,1
1157,5,-14,1,1,0,1,1,1
3361,5,-11,1,1,1,1,1,1
3819,4,-14,1,1,0,1,1,1
3488,4,-1,1,1,1,1,1,0
1740,3,-4,1,1,1,1,1,0
2173,5,-12,1,1,0,1,1,0
1359,4,-5,1,1,0,1,1,0
3648,4,-3,1,1,0,1,1,1
4161,3,-15,1,1,1,1,1,0
2416,5,-10,1,1,0,1,1,1
842,5,-12,1,1,0,1,1,0
2539,4,-7,1,1,0,1,1,1
826,3,-11,1,1,0,1,1,1
2162,3,-1,1,1,0,1,1,1
1410,4,-13,1,1,1,1,1,1
1291,5,-2,1,1,0,1,1,0
3953,5,-6,1,1,0,1,1,1
4834,3,-13,1,1,1,1,1,0
1793,5,-11,1,1,1,1,1,0
3929,5,-9,1,1,0,1,1,1
60,5,-1,1,1,1,1,1,1
3440,3,0,1,1,0,1,1,1
2503,3,-13,1,1,0,1,1,1
2650,5,-2,1,1,1,1,1,0
1249,5,-1,1,1,1,1,1,0
837,4,-6,1,1,1,1,1,1
3068,4,-2,1,1,0,1,1,0
4669,3,-11,1,1,1,1,1,0
1961,5,-2,1,1,0,1,1,1
2001,3,-10,1,1,0,1,1,1
2356,3,-15,1,1,1,1,1,0
3958,5,-4,1,1,1,1,1,1
2028,5,0,1,1,1,1,1,0
1912,4,-12,1,1,1,1,1,0
4996,5,-4,1,1,0,1,1,0
3245,5,-9,1,1,1,1,1,0
3613,4,-6,1,1,1,1,1,1
4308,3,0,1,1,0,1,1,1
634,5,-2,1,1,0,1,1,1
2142,5,-3,1,1,0,1,1,0
228,4,-2,1,1,0,1,1,1
1982,4,-7,1,1,1,1,1,0
1484,3,-8,1,1,0,1,1,1
493,4,-11,1,1,1,1,1,0
4701,5,-13,1,1,0,1,1,0
4004,4,-11,1,1,1,1,1,1
751,3,-9,1,1,1,1,1,0
1805,4,-5,1,1,1,1,1,1
3124,3,-4,1,1,0,1,1,1
356,4,-5,1,1,0,1,1,1
3307,3,-11,1,1,0,1,1,0
2490,3,-9,1,1,1,1,1,1
3474,4,-14,1,1,1,1,1,0
851,5,-8,1,1,0,1,1,1
2668,4,-12,1,1,1,1,1,0
75,5,-14,1,1,0,1,1,1
831,5,-12,1,1,1,1,1,1
4577,5,-5,1,1,0,1,1,0
954,3,-2,1,1,1,1,1,1
4845,4,-4,1,1,1,1,1,1
2829,3,-11,1,1,0,1,1,1
2866,3,-4,1,1,0,1,1,0
1167,5,0,1,1,1,1,1,0
3540,5,-12,1,1,0,1,1,0
1452,3,-4,1,1,0,1,1,0
3237,3,-8,1,1,1,1,1,0
1665,3,-11,1,1,1,1,1,0
4785,3,-12,1,1,0,1,1,1
1099,4,-15,1,1,0,1,1,0
1771,5,-13,1,1,1,1,1,1
3197,3,-10,1,1,1,1,1,0
3277,4,-4,1,1,0,1,1,1
1044,4,-3,1,1,1,1,1,1
2758,5,-15,1,1,1,1,1,1
2571,4,-7,1,1,1,1,1,1
2283,4,-13,1,1,0,1,1,1
3145,3,-3,1,1,1,1,1,0
2068,5,-10,1,1,0,1,1,0
4223,3,-6,1,1,0,1,1,1
2879,4,-12,1,1,0,1,1,1
1822,4,0,1,1,1,1,1,1
2882,4,-10,1,1,0,1,1,1
2671,3,-4,1,1,1,1,1,0
4568,4,-14,1,1,1,1,1,1
3538,5,-10,1,1,1,1,1,1
1232,5,-1,1,1,0,1,1,1
281,3,-2,1,1,1,1,1,1
3538,3,-5,1,1,0,1,1,1
3171,5,-10,1,1,1,1,1,1
3294,5,-10,1,1,1,1,1,0
1176,5,-4,1,1,0,1,1,0
3267,5,-12,1,1,1,1,1,0
3712,5,-13,1,1,1,1,1,1
1732,4,-14,1,1,0,1,1,1
2463,5,-13,1,1,1,1,1,0
2817,5,-5,1,1,0,1,1,1
298,5,-5,1,1,0,1,1,0
1472,4,-9,1,1,1,1,1,0
1600,5,-14,1,1,0,1,1,0
4511,5,-6,1,1,1,1,1,1
1512,3,-12,1,1,0,1,1,0
51,5,-7,1,1,0,1,1,0
4859,3,-2,1,1,1,1,1,1
3779,4,-4,1,1,1,1,1,1
18,4,-6,1,1,1,1,1,0
4979,3,-10,1,1,0,1,1,0
2549,4,-3,1,1,1,1,1,0
1821,3,-8,1,1,0,1,1,0
2479,4,-11,1,1,0,1,1,0
4701,4,-10,1,1,0,1,1,0
196,3,0,1,1,0,1,1,1
1235,5,-11,1,1,0,1,1,1
1460,5,-8,1,1,1,1,1,0
1980,5,-10,1,1,0,1,1,0
4076,3,-14,1,1,0,1,1,1
374,5,-11,1,1,0,1,1,0
239,4,-11,1,1,0,1,1,1
276,4,-8,1,1,1,1,1,0
2812,4,-10,1,1,0,1,1,1
882,5,-1,1,1,0,1,1,0
3549,5,-12,1,1,0,1,1,1
3636,3,-5,1,1,0,1,1,1
3764,4,-3,1,1,0,1,1,0
344,3,-9,1,1,1,1,1,0
3326,5,-2,1,1,1,1,1,1
886,4,-12,1,1,0,1,1,0
248,5,-14,1,1,0,1,1,0
1305,3,-14,1,1,0,1,1,1
1203,5,-13,1,1,1,1,1,1
4583,5,-10,1,1,0,1,1,0
4529,4,-2,1,1,1,1,1,0
4962,4,-5,1,1,0,1,1,0
362,5,-3,1,1,1,1,1,0
647,3,-8,1,1,1,1,1,0
126,3,-8,1,1,1,1,1,0
199,5,0,1,1,0,1,1,1
66,5,-11,1,1,0,1,1,0
2338,4,-9,1,1,1,1,1,1
1986,3,-8,1,1,0,1,1,1
2491,5,-9,1,1,1,1,1,0
4577,3,-5,1,1,1,1,1,1
993,4,-4,1,1,0,1,1,1
2261,4,-12,1,1,1,1,1,1
2233,5,-14,1,1,0,1,1,0
2395,3,-11,1,1,0,1,1,1
408,5,-4,1,1,1,1,1,0
